,location,total_sqft,bath,price,bhk
0,1st Phase JP Nagar,2825.0,4.0,250.0,4
1,1st Phase JP Nagar,1875.0,3.0,167.0,3
2,1st Phase JP Nagar,2024.0,3.0,157.0,3
3,1st Phase JP Nagar,1077.0,2.0,93.0,2
4,1st Phase JP Nagar,1590.0,3.0,131.0,3
5,1st Phase JP Nagar,1180.0,2.0,88.5,2
6,1st Phase JP Nagar,2077.0,3.0,175.0,3
7,1st Phase JP Nagar,2615.0,5.0,222.0,4
8,1st Phase JP Nagar,900.0,2.0,75.0,2
9,5th Phase JP Nagar,1256.0,2.0,62.8,2
10,5th Phase JP Nagar,600.0,1.0,30.0,1
11,5th Phase JP Nagar,1256.0,2.0,62.8,2
12,5th Phase JP Nagar,1000.0,2.0,48.0,2
13,5th Phase JP Nagar,1240.0,3.0,60.0,3
14,5th Phase JP Nagar,1550.0,3.0,75.0,3
15,5th Phase JP Nagar,1080.0,2.0,53.0,2
16,5th Phase JP Nagar,1450.0,2.0,73.0,3
17,6th Phase JP Nagar,1192.0,2.0,74.0,2
18,6th Phase JP Nagar,1180.0,2.0,80.0,2
19,6th Phase JP Nagar,1645.0,3.0,100.0,3
20,6th Phase JP Nagar,1192.0,2.0,75.0,2
21,6th Phase JP Nagar,1280.0,2.0,88.0,2
22,7th Phase JP Nagar,1080.0,2.0,72.0,2
23,7th Phase JP Nagar,1270.0,2.0,93.0,2
24,7th Phase JP Nagar,1420.0,2.0,100.0,3
25,7th Phase JP Nagar,1175.0,2.0,82.0,2
27,7th Phase JP Nagar,2225.0,3.0,160.0,3
28,7th Phase JP Nagar,1050.0,2.0,71.0,2
31,7th Phase JP Nagar,1680.0,3.0,120.0,3
32,7th Phase JP Nagar,980.0,2.0,69.0,2
33,7th Phase JP Nagar,1270.0,2.0,83.0,2
34,7th Phase JP Nagar,1575.0,2.0,110.0,3
35,7th Phase JP Nagar,1680.0,3.0,120.0,3
36,7th Phase JP Nagar,1175.0,2.0,82.5,2
37,7th Phase JP Nagar,1050.0,2.0,75.0,2
39,7th Phase JP Nagar,1130.0,2.0,73.0,2
41,7th Phase JP Nagar,1275.0,2.0,87.0,2
43,7th Phase JP Nagar,1680.0,3.0,117.0,3
46,7th Phase JP Nagar,1000.0,2.0,70.65,2
47,7th Phase JP Nagar,1080.0,2.0,75.0,2
50,7th Phase JP Nagar,1680.0,3.0,117.0,3
51,7th Phase JP Nagar,1050.0,2.0,77.0,2
52,7th Phase JP Nagar,1050.0,2.0,75.0,2
53,7th Phase JP Nagar,1040.0,2.0,75.0,2
